Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%)
0.00,-0.06,-0.58,29995.63,99.98
0.10,-0.17,-1.16,29991.26,99.96
0.20,-0.35,-1.75,29986.89,99.93
0.30,-0.58,-2.33,29982.52,99.91
0.40,-0.87,-2.91,29978.15,99.89
0.50,-1.22,-3.49,29973.78,99.87
0.60,-1.63,-4.07,29969.41,99.85
0.70,-2.09,-4.65,29965.04,99.83
0.80,-2.62,-5.24,29960.67,99.80
0.90,-3.20,-5.82,29956.30,99.78
1.00,-3.84,-6.40,29951.93,99.76
1.10,-4.54,-6.98,29947.56,99.74
1.20,-5.29,-7.56,29943.19,99.72
1.30,-6.11,-8.14,29938.82,99.69
1.40,-6.98,-8.72,29934.45,99.67
1.50,-7.91,-9.30,29930.08,99.65
1.60,-8.90,-9.89,29925.71,99.63
1.70,-9.95,-10.47,29921.34,99.61
1.80,-11.05,-11.05,29916.97,99.58
1.90,-12.21,-11.63,29912.60,99.56
2.00,-13.44,-12.21,29908.23,99.54
2.10,-14.71,-12.79,29903.86,99.52
2.20,-16.05,-13.37,29899.49,99.50
2.30,-17.45,-13.95,29895.11,99.48
2.40,-18.90,-14.53,29890.74,99.45
2.50,-20.41,-15.11,29886.37,99.43
2.60,-21.98,-15.69,29882.00,99.41
2.70,-23.61,-16.27,29877.63,99.39
2.80,-25.29,-16.85,29873.26,99.37
2.90,-27.04,-17.43,29868.89,99.34
3.00,-28.84,-18.01,29864.52,99.32
3.10,-30.70,-18.60,29860.15,99.30
3.20,-32.62,-19.18,29855.78,99.28
3.30,-34.59,-19.76,29851.41,99.26
3.40,-36.62,-20.34,29847.04,99.24
3.50,-38.72,-20.92,29842.67,99.21
3.60,-40.87,-21.50,29838.30,99.19
3.70,-43.07,-22.07,29833.93,99.17
3.80,-45.34,-22.65,29829.56,99.15
3.90,-47.66,-23.23,29825.19,99.13
4.00,-50.04,-23.81,29820.82,99.10
4.10,-52.48,-24.39,29816.45,99.08
4.20,-54.98,-24.97,29812.08,99.06
4.30,-57.54,-25.55,29807.71,99.04
4.40,-60.15,-26.13,29803.34,99.02
4.50,-62.82,-26.71,29798.97,98.99
4.60,-65.55,-27.29,29794.60,98.97
4.70,-68.34,-27.87,29790.23,98.95
4.80,-71.18,-28.45,29785.86,98.93
4.90,-74.08,-29.03,29781.49,98.91
5.00,-77.04,-29.61,29777.12,98.89
5.10,-80.06,-30.19,29772.75,98.86
5.20,-83.14,-30.77,29768.38,98.84
5.30,-86.27,-31.34,29764.01,98.82
5.40,-89.47,-31.92,29759.64,98.80
5.50,-92.72,-32.50,29755.27,98.78
5.60,-96.02,-33.08,29750.90,98.75
5.70,-99.39,-33.66,29746.53,98.73
5.80,-102.81,-34.24,29742.16,98.71
5.90,-106.30,-34.82,29737.79,98.69
6.00,-109.84,-35.40,29733.42,98.67
6.10,-113.43,-35.97,29729.05,98.65
6.20,-117.09,-36.55,29724.68,98.62
6.30,-120.80,-37.13,29720.31,98.60
6.40,-124.57,-37.71,29715.94,98.58
6.50,-128.40,-38.29,29711.57,98.56
6.60,-132.29,-38.87,29707.20,98.54
6.70,-136.23,-39.44,29702.83,98.51
6.80,-140.23,-40.02,29698.46,98.49
6.90,-144.29,-40.60,29694.09,98.47
7.00,-148.41,-41.18,29689.71,98.45
7.10,-152.59,-41.75,29685.34,98.43
7.20,-156.82,-42.33,29680.97,98.40
7.30,-161.11,-42.91,29676.60,98.38
7.40,-165.46,-43.49,29672.23,98.36
7.50,-169.87,-44.07,29667.86,98.34
7.60,-174.33,-44.64,29663.49,98.32
7.70,-178.85,-45.22,29659.12,98.30
7.80,-183.43,-45.80,29654.75,98.27
7.90,-188.07,-46.38,29650.38,98.25
8.00,-192.77,-46.95,29646.01,98.23
8.10,-197.52,-47.53,29641.64,98.21
8.20,-202.33,-48.11,29637.27,98.19
8.30,-207.20,-48.68,29632.90,98.16
8.40,-212.12,-49.26,29628.53,98.14
8.50,-217.11,-49.84,29624.16,98.12
8.60,-222.15,-50.42,29619.79,98.10
8.70,-227.25,-50.99,29615.42,98.08
8.80,-232.41,-51.57,29611.05,98.06
