Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%),Air Density (kg/m^3),Drag Force (N),Drag Accel (m/s^2)
0.00,0.30,3.02,29956.30,99.78,1.22,23.52,0.00
0.10,0.91,6.04,29912.60,99.56,1.22,72.52,0.00
0.20,1.81,9.07,29868.89,99.34,1.22,148.56,0.00
0.30,3.02,12.11,29825.19,99.13,1.22,251.78,0.01
0.40,4.54,15.15,29781.49,98.91,1.22,382.32,0.01
0.50,6.36,18.19,29737.79,98.69,1.22,540.31,0.02
0.60,8.48,21.24,29694.09,98.47,1.22,725.88,0.02
0.70,10.91,24.30,29650.38,98.25,1.22,939.13,0.03
0.80,13.65,27.36,29606.68,98.03,1.22,1180.17,0.04
0.90,16.69,30.43,29562.98,97.81,1.22,1449.13,0.05
1.00,20.04,33.50,29519.28,97.60,1.22,1746.08,0.06
1.10,23.70,36.58,29475.57,97.38,1.22,2071.13,0.07
1.20,27.67,39.67,29431.87,97.16,1.22,2424.36,0.08
1.30,31.94,42.76,29388.17,96.94,1.22,2805.84,0.10
1.40,36.53,45.85,29344.47,96.72,1.22,3215.65,0.11
1.50,41.42,48.95,29300.77,96.50,1.22,3653.86,0.12
1.60,46.63,52.05,29257.06,96.29,1.22,4120.52,0.14
1.70,52.14,55.16,29213.36,96.07,1.22,4615.69,0.16
1.80,57.97,58.28,29169.66,95.85,1.22,5139.40,0.18
1.90,64.11,61.40,29125.96,95.63,1.22,5691.71,0.20
2.00,70.56,64.52,29082.26,95.41,1.22,6272.63,0.22
2.10,77.33,67.65,29038.55,95.19,1.22,6882.19,0.24
2.20,84.41,70.78,28994.85,94.97,1.22,7520.40,0.26
2.30,91.80,73.92,28951.15,94.76,1.22,8187.29,0.28
2.40,99.51,77.07,28907.45,94.54,1.21,8882.85,0.31
2.50,107.53,80.21,28863.74,94.32,1.21,9607.07,0.33
2.60,115.86,83.37,28820.04,94.10,1.21,10359.94,0.36
2.70,124.52,86.52,28776.34,93.88,1.21,11141.44,0.39
2.80,133.49,89.69,28732.64,93.66,1.21,11951.56,0.42
2.90,142.77,92.85,28688.94,93.44,1.21,12790.24,0.45
3.00,152.37,96.02,28645.23,93.23,1.21,13657.45,0.48
3.10,162.29,99.20,28601.53,93.01,1.21,14553.15,0.51
3.20,172.53,102.38,28557.83,92.79,1.21,15477.27,0.54
3.30,183.09,105.56,28514.13,92.57,1.20,16429.75,0.58
3.40,193.96,108.75,28470.43,92.35,1.20,17410.52,0.61
3.50,205.16,111.94,28426.72,92.13,1.20,18419.51,0.65
3.60,216.67,115.14,28383.02,91.92,1.20,19456.62,0.69
3.70,228.50,118.34,28339.32,91.70,1.20,20521.76,0.72
3.80,240.66,121.54,28295.62,91.48,1.20,21614.83,0.76
3.90,253.13,124.75,28251.92,91.26,1.20,22735.73,0.80
4.00,265.93,127.96,28208.21,91.04,1.20,23884.34,0.85
4.10,279.05,131.18,28164.51,90.82,1.19,25060.53,0.89
4.20,292.49,134.40,28120.81,90.60,1.19,26264.18,0.93
4.30,306.25,137.62,28077.11,90.39,1.19,27495.15,0.98
4.40,320.34,140.85,28033.40,90.17,1.19,28753.29,1.03
4.50,334.74,144.08,27989.70,89.95,1.19,30038.45,1.07
4.60,349.48,147.32,27946.00,89.73,1.19,31350.48,1.12
4.70,364.53,150.56,27902.30,89.51,1.18,32689.19,1.17
4.80,379.91,153.80,27858.60,89.29,1.18,34054.44,1.22
4.90,395.62,157.05,27814.89,89.07,1.18,35446.02,1.27
5.00,411.65,160.29,27771.19,88.86,1.18,36863.75,1.33
