Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%)
0.00,0.30,3.02,29956.30,99.78
0.10,0.91,6.04,29912.60,99.56
0.20,1.81,9.07,29868.89,99.34
0.30,3.02,12.11,29825.19,99.13
0.40,4.54,15.15,29781.49,98.91
0.50,6.36,18.20,29737.79,98.69
0.60,8.48,21.25,29694.09,98.47
0.70,10.91,24.31,29650.38,98.25
0.80,13.65,27.38,29606.68,98.03
0.90,16.70,30.45,29562.98,97.81
1.00,20.05,33.53,29519.28,97.60
1.10,23.71,36.62,29475.57,97.38
1.20,27.68,39.71,29431.87,97.16
1.30,31.96,42.81,29388.17,96.94
1.40,36.55,45.91,29344.47,96.72
1.50,41.46,49.02,29300.77,96.50
1.60,46.67,52.14,29257.06,96.29
1.70,52.20,55.27,29213.36,96.07
1.80,58.04,58.40,29169.66,95.85
1.90,64.19,61.54,29125.96,95.63
2.00,70.66,64.68,29082.26,95.41
2.10,77.44,67.84,29038.55,95.19
2.20,84.54,71.00,28994.85,94.97
2.30,91.96,74.16,28951.15,94.76
2.40,99.69,77.34,28907.45,94.54
2.50,107.75,80.52,28863.74,94.32
2.60,116.12,83.71,28820.04,94.10
2.70,124.81,86.90,28776.34,93.88
2.80,133.82,90.11,28732.64,93.66
2.90,143.15,93.32,28688.94,93.44
3.00,152.80,96.54,28645.23,93.23
3.10,162.78,99.76,28601.53,93.01
3.20,173.08,103.00,28557.83,92.79
3.30,183.70,106.24,28514.13,92.57
3.40,194.65,109.49,28470.43,92.35
3.50,205.93,112.74,28426.72,92.13
3.60,217.53,116.01,28383.02,91.92
3.70,229.45,119.28,28339.32,91.70
3.80,241.71,122.56,28295.62,91.48
3.90,254.30,125.85,28251.92,91.26
4.00,267.21,129.15,28208.21,91.04
4.10,280.46,132.45,28164.51,90.82
4.20,294.03,135.77,28120.81,90.60
4.30,307.94,139.09,28077.11,90.39
4.40,322.18,142.42,28033.40,90.17
4.50,336.76,145.76,27989.70,89.95
4.60,351.67,149.11,27946.00,89.73
4.70,366.92,152.46,27902.30,89.51
4.80,382.50,155.83,27858.60,89.29
4.90,398.42,159.20,27814.89,89.07
5.00,414.68,162.58,27771.19,88.86
5.10,431.28,165.98,27727.49,88.64
5.20,448.21,169.38,27683.79,88.42
5.30,465.49,172.78,27640.09,88.20
5.40,483.11,176.20,27596.38,87.98
5.50,501.08,179.63,27552.68,87.76
5.60,519.38,183.07,27508.98,87.54
5.70,538.03,186.51,27465.28,87.33
5.80,557.03,189.97,27421.57,87.11
5.90,576.37,193.43,27377.87,86.89
6.00,596.06,196.91,27334.17,86.67
6.10,616.10,200.39,27290.47,86.45
6.20,636.49,203.88,27246.77,86.23
6.30,657.23,207.39,27203.06,86.02
6.40,678.32,210.90,27159.36,85.80
6.50,699.76,214.42,27115.66,85.58
6.60,721.56,217.95,27071.96,85.36
6.70,743.71,221.50,27028.26,85.14
6.80,766.21,225.05,26984.55,84.92
6.90,789.07,228.61,26940.85,84.70
7.00,812.29,232.18,26897.15,84.49
7.10,835.87,235.77,26853.45,84.27
7.20,859.80,239.36,26809.74,84.05
7.30,884.10,242.96,26766.04,83.83
7.40,908.76,246.58,26722.34,83.61
7.50,933.78,250.20,26678.64,83.39
7.60,959.16,253.84,26634.94,83.17
