Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%),Air Density (kg/m^3),Drag Force (N),Drag Accel (m/s^2),Heat Rate (W/m^2),Total Heat (J/m^2),Surface Temp (K)
0.00,0.40,4.01,29956.30,99.78,0.02,0.46,0.00,0.00,0.00,0.00
0.10,1.20,8.03,29912.60,99.56,0.02,1.50,0.00,0.00,0.00,0.00
0.20,2.41,12.06,29868.89,99.34,0.02,3.14,0.00,0.01,0.00,0.00
0.30,4.02,16.09,29825.19,99.13,0.02,5.38,0.00,0.01,0.00,0.00
0.40,6.03,20.13,29781.49,98.91,0.02,8.22,0.00,0.03,0.00,0.00
0.50,8.45,24.18,29737.79,98.69,0.02,11.67,0.00,0.04,0.01,0.00
0.60,11.27,28.24,29694.09,98.47,0.02,15.72,0.00,0.07,0.02,0.00
0.70,14.50,32.30,29650.38,98.25,0.02,20.39,0.00,0.10,0.03,0.00
0.80,18.14,36.37,29606.68,98.03,0.02,25.66,0.00,0.15,0.04,0.00
0.90,22.19,40.45,29562.98,97.81,0.02,31.54,0.00,0.20,0.06,0.00
1.00,26.64,44.54,29519.28,97.60,0.02,38.04,0.00,0.26,0.09,0.00
1.10,31.50,48.63,29475.57,97.38,0.02,45.14,0.00,0.34,0.12,0.00
1.20,36.78,52.73,29431.87,97.16,0.02,52.85,0.00,0.43,0.17,0.00
1.30,42.46,56.84,29388.17,96.94,0.02,61.17,0.00,0.54,0.22,0.00
1.40,48.56,60.95,29344.47,96.72,0.02,70.10,0.00,0.66,0.29,0.00
1.50,55.06,65.08,29300.77,96.50,0.02,79.64,0.00,0.80,0.37,0.00
1.60,61.98,69.21,29257.06,96.29,0.02,89.78,0.00,0.96,0.46,0.00
1.70,69.32,73.35,29213.36,96.07,0.02,100.52,0.00,1.14,0.58,0.00
1.80,77.07,77.49,29169.66,95.85,0.02,111.86,0.00,1.34,0.71,0.00
1.90,85.23,81.65,29125.96,95.63,0.02,123.80,0.00,1.56,0.87,0.00
2.00,93.81,85.81,29082.26,95.41,0.02,136.33,0.00,1.80,1.05,0.00
2.10,102.81,89.98,29038.55,95.19,0.02,149.45,0.01,2.07,1.25,0.00
2.20,112.23,94.15,28994.85,94.97,0.02,163.16,0.01,2.37,1.49,0.00
2.30,122.06,98.34,28951.15,94.76,0.01,177.45,0.01,2.69,1.76,0.00
2.40,132.31,102.53,28907.45,94.54,0.01,192.32,0.01,3.04,2.06,0.00
2.50,142.99,106.73,28863.74,94.32,0.01,207.76,0.01,3.41,2.40,0.00
2.60,154.08,110.94,28820.04,94.10,0.01,223.77,0.01,3.82,2.79,0.00
2.70,165.60,115.16,28776.34,93.88,0.01,240.34,0.01,4.26,3.21,0.00
2.80,177.53,119.38,28732.64,93.66,0.01,257.47,0.01,4.73,3.68,0.00
2.90,189.90,123.61,28688.94,93.44,0.01,275.15,0.01,5.23,4.21,0.00
3.00,202.68,127.85,28645.23,93.23,0.01,293.37,0.01,5.76,4.78,0.00
3.10,215.89,132.10,28601.53,93.01,0.01,312.12,0.01,6.33,5.42,0.00
3.20,229.53,136.35,28557.83,92.79,0.01,331.41,0.01,6.94,6.11,0.00
3.30,243.59,140.62,28514.13,92.57,0.01,351.22,0.01,7.58,6.87,0.00
3.40,258.08,144.89,28470.43,92.35,0.01,371.54,0.01,8.26,7.70,0.00
3.50,272.99,149.17,28426.72,92.13,0.01,392.37,0.01,8.98,8.59,0.00
3.60,288.34,153.45,28383.02,91.92,0.01,413.69,0.01,9.74,9.57,0.00
3.70,304.11,157.75,28339.32,91.70,0.01,435.50,0.02,10.54,10.62,0.01
3.80,320.32,162.05,28295.62,91.48,0.01,457.79,0.02,11.38,11.76,0.01
3.90,336.96,166.37,28251.92,91.26,0.01,480.55,0.02,12.26,12.99,0.01
4.00,354.02,170.69,28208.21,91.04,0.01,503.78,0.02,13.19,14.31,0.01
4.10,371.52,175.01,28164.51,90.82,0.01,527.45,0.02,14.16,15.72,0.01
4.20,389.46,179.35,28120.81,90.60,0.01,551.56,0.02,15.17,17.24,0.01
4.30,407.83,183.69,28077.11,90.39,0.01,576.10,0.02,16.22,18.86,0.01
4.40,426.63,188.05,28033.40,90.17,0.01,601.05,0.02,17.33,20.59,0.01
4.50,445.87,192.41,27989.70,89.95,0.01,626.42,0.02,18.47,22.44,0.01
4.60,465.55,196.78,27946.00,89.73,0.01,652.17,0.02,19.67,24.41,0.01
4.70,485.67,201.15,27902.30,89.51,0.01,678.32,0.02,20.91,26.50,0.01
4.80,506.22,205.54,27858.60,89.29,0.01,704.83,0.03,22.20,28.72,0.01
4.90,527.22,209.93,27814.89,89.07,0.01,731.70,0.03,23.53,31.07,0.02
5.00,548.65,214.34,27771.19,88.86,0.01,758.92,0.03,24.92,33.56,0.02
5.10,570.52,218.75,27727.49,88.64,0.01,786.48,0.03,26.35,36.20,0.02
5.20,592.84,223.17,27683.79,88.42,0.01,814.35,0.03,27.84,38.98,0.02
5.30,615.60,227.59,27640.09,88.20,0.01,842.53,0.03,29.37,41.92,0.02
5.40,638.80,232.03,27596.38,87.98,0.01,871.01,0.03,30.95,45.01,0.02
5.50,662.45,236.48,27552.68,87.76,0.01,899.77,0.03,32.58,48.27,0.02
5.60,686.54,240.93,27508.98,87.54,0.01,928.79,0.03,34.26,51.70,0.03
5.70,711.08,245.39,27465.28,87.33,0.01,958.07,0.03,36.00,55.30,0.03
5.80,736.07,249.86,27421.57,87.11,0.01,987.58,0.04,37.78,59.08,0.03
5.90,761.50,254.34,27377.87,86.89,0.01,1017.32,0.04,39.61,63.04,0.03
6.00,787.39,258.83,27334.17,86.67,0.01,1047.27,0.04,41.49,67.19,0.03
6.10,813.72,263.33,27290.47,86.45,0.01,1077.41,0.04,43.43,71.53,0.04
6.20,840.50,267.83,27246.77,86.23,0.01,1107.74,0.04,45.41,76.07,0.04
