Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%)
0.00,0.40,4.01,29956.30,99.78
0.10,1.20,8.03,29912.60,99.56
0.20,2.41,12.06,29868.89,99.34
0.30,4.02,16.09,29825.19,99.13
0.40,6.03,20.13,29781.49,98.91
0.50,8.45,24.18,29737.79,98.69
0.60,11.27,28.24,29694.09,98.47
0.70,14.50,32.30,29650.38,98.25
0.80,18.14,36.37,29606.68,98.03
0.90,22.19,40.45,29562.98,97.81
1.00,26.64,44.54,29519.28,97.60
1.10,31.50,48.63,29475.57,97.38
1.20,36.78,52.73,29431.87,97.16
1.30,42.46,56.84,29388.17,96.94
1.40,48.56,60.95,29344.47,96.72
1.50,55.06,65.08,29300.77,96.50
1.60,61.98,69.21,29257.06,96.29
1.70,69.32,73.35,29213.36,96.07
1.80,77.07,77.50,29169.66,95.85
1.90,85.23,81.65,29125.96,95.63
2.00,93.82,85.81,29082.26,95.41
2.10,102.81,89.98,29038.55,95.19
2.20,112.23,94.16,28994.85,94.97
2.30,122.06,98.34,28951.15,94.76
2.40,132.32,102.54,28907.45,94.54
2.50,142.99,106.74,28863.74,94.32
2.60,154.09,110.95,28820.04,94.10
2.70,165.60,115.16,28776.34,93.88
2.80,177.54,119.39,28732.64,93.66
2.90,189.90,123.62,28688.94,93.44
3.00,202.69,127.86,28645.23,93.23
3.10,215.90,132.11,28601.53,93.01
3.20,229.54,136.37,28557.83,92.79
3.30,243.60,140.63,28514.13,92.57
3.40,258.09,144.90,28470.43,92.35
3.50,273.01,149.18,28426.72,92.13
3.60,288.36,153.47,28383.02,91.92
3.70,304.13,157.77,28339.32,91.70
3.80,320.34,162.08,28295.62,91.48
3.90,336.98,166.39,28251.92,91.26
4.00,354.05,170.71,28208.21,91.04
4.10,371.56,175.04,28164.51,90.82
4.20,389.49,179.38,28120.81,90.60
4.30,407.87,183.73,28077.11,90.39
4.40,426.67,188.08,28033.40,90.17
4.50,445.92,192.44,27989.70,89.95
4.60,465.60,196.81,27946.00,89.73
4.70,485.72,201.19,27902.30,89.51
4.80,506.28,205.58,27858.60,89.29
4.90,527.28,209.98,27814.89,89.07
5.00,548.71,214.38,27771.19,88.86
5.10,570.59,218.80,27727.49,88.64
5.20,592.92,223.22,27683.79,88.42
5.30,615.68,227.65,27640.09,88.20
5.40,638.89,232.09,27596.38,87.98
5.50,662.54,236.54,27552.68,87.76
5.60,686.64,241.00,27508.98,87.54
5.70,711.19,245.46,27465.28,87.33
5.80,736.18,249.94,27421.57,87.11
5.90,761.62,254.42,27377.87,86.89
6.00,787.52,258.91,27334.17,86.67
6.10,813.86,263.41,27290.47,86.45
6.20,840.65,267.92,27246.77,86.23
6.30,867.89,272.44,27203.06,86.02
6.40,895.59,276.97,27159.36,85.80
6.50,923.74,281.50,27115.66,85.58
6.60,952.34,286.05,27071.96,85.36
6.70,981.40,290.60,27028.26,85.14
6.80,1010.92,295.16,26984.55,84.92
6.90,1040.89,299.73,26940.85,84.70
7.00,1071.33,304.32,26897.15,84.49
7.10,1102.22,308.91,26853.45,84.27
7.20,1133.57,313.50,26809.74,84.05
7.30,1165.38,318.11,26766.04,83.83
7.40,1197.65,322.73,26722.34,83.61
7.50,1230.39,327.36,26678.64,83.39
7.60,1263.59,331.99,26634.94,83.17
7.70,1297.25,336.64,26591.23,82.96
7.80,1331.38,341.29,26547.53,82.74
7.90,1365.97,345.96,26503.83,82.52
8.00,1401.04,350.63,26460.13,82.30
8.10,1436.57,355.31,26416.43,82.08
8.20,1472.57,360.00,26372.72,81.86
8.30,1509.04,364.71,26329.02,81.65
8.40,1545.98,369.42,26285.32,81.43
8.50,1583.39,374.14,26241.62,81.21
8.60,1621.28,378.87,26197.92,80.99
8.70,1659.64,383.61,26154.21,80.77
8.80,1698.48,388.36,26110.51,80.55
8.90,1737.79,393.11,26066.81,80.33
9.00,1777.58,397.88,26023.11,80.12
9.10,1817.84,402.66,25979.40,79.90
9.20,1858.59,407.45,25935.70,79.68
9.30,1899.81,412.25,25892.00,79.46
9.40,1941.52,417.05,25848.30,79.24
9.50,1983.70,421.87,25804.60,79.02
9.60,2026.37,426.70,25760.89,78.80
9.70,2069.53,431.54,25717.19,78.59
9.80,2113.17,436.38,25673.49,78.37
9.90,2157.29,441.24,25629.79,78.15
10.00,2201.90,446.11,25586.09,77.93
10.10,2247.00,450.98,25542.38,77.71
10.20,2292.59,455.87,25498.68,77.49
10.30,2338.66,460.77,25454.98,77.27
10.40,2385.23,465.68,25411.28,77.06
10.50,2432.29,470.59,25367.57,76.84
10.60,2479.84,475.52,25323.87,76.62
10.70,2527.89,480.46,25280.17,76.40
10.80,2576.43,485.41,25236.47,76.18
10.90,2625.47,490.37,25192.77,75.96
11.00,2675.00,495.34,25149.06,75.75
11.10,2725.03,500.32,25105.36,75.53
11.20,2775.56,505.31,25061.66,75.31
11.30,2826.59,510.31,25017.96,75.09
11.40,2878.13,515.32,24974.26,74.87
11.50,2930.16,520.34,24930.55,74.65
11.60,2982.70,525.37,24886.85,74.43
11.70,3035.74,530.42,24843.15,74.22
11.80,3089.29,535.47,24799.45,74.00
11.90,3143.34,540.53,24755.75,73.78
12.00,3197.90,545.61,24712.04,73.56
12.10,3252.97,550.69,24668.34,73.34
12.20,3308.55,555.79,24624.64,73.12
12.30,3364.64,560.90,24580.94,72.90
12.40,3421.24,566.02,24537.23,72.69
12.50,3478.35,571.14,24493.53,72.47
12.60,3535.98,576.28,24449.83,72.25
12.70,3594.13,581.44,24406.13,72.03
12.80,3652.79,586.60,24362.43,71.81
12.90,3711.96,591.77,24318.72,71.59
13.00,3771.66,596.96,24275.02,71.38
13.10,3831.87,602.15,24231.32,71.16
13.20,3892.61,607.36,24187.62,70.94
13.30,3953.87,612.58,24143.92,70.72
13.40,4015.65,617.81,24100.21,70.50
13.50,4077.95,623.05,24056.51,70.28
13.60,4140.78,628.30,24012.81,70.06
13.70,4204.14,633.56,23969.11,69.85
13.80,4268.02,638.84,23925.40,69.63
13.90,4332.43,644.12,23881.70,69.41
14.00,4397.38,649.42,23838.00,69.19
14.10,4462.85,654.73,23794.30,68.97
14.20,4528.85,660.05,23750.60,68.75
14.30,4595.39,665.38,23706.89,68.53
14.40,4662.47,670.73,23663.19,68.32
14.50,4730.07,676.08,23619.49,68.10
14.60,4798.22,681.45,23575.79,67.88
14.70,4866.90,686.83,23532.09,67.66
14.80,4936.12,692.22,23488.38,67.44
14.90,5005.89,697.63,23444.68,67.22
15.00,5076.19,703.04,23400.98,67.00
15.10,5147.04,708.47,23357.28,66.79
15.20,5218.43,713.91,23313.58,66.57
15.30,5290.36,719.36,23269.87,66.35
15.40,5362.85,724.82,23226.17,66.13
15.50,5435.88,730.30,23182.47,65.91
15.60,5509.46,735.79,23138.77,65.69
15.70,5583.59,741.29,23095.06,65.48
15.80,5658.27,746.80,23051.36,65.26
15.90,5733.50,752.33,23007.66,65.04
16.00,5809.28,757.87,22963.96,64.82
16.10,5885.63,763.42,22920.26,64.60
16.20,5962.52,768.98,22876.55,64.38
16.30,6039.98,774.55,22832.85,64.16
16.40,6117.99,780.14,22789.15,63.95
16.50,6196.57,785.74,22745.45,63.73
16.60,6275.70,791.35,22701.75,63.51
16.70,6355.40,796.98,22658.04,63.29
16.80,6435.66,802.62,22614.34,63.07
16.90,6516.49,808.27,22570.64,62.85
17.00,6597.88,813.93,22526.94,62.63
17.10,6679.84,819.61,22483.23,62.42
17.20,6762.37,825.30,22439.53,62.20
17.30,6845.48,831.01,22395.83,61.98
17.40,6929.15,836.72,22352.13,61.76
17.50,7013.39,842.45,22308.43,61.54
17.60,7098.21,848.19,22264.72,61.32
17.70,7183.61,853.95,22221.02,61.11
17.80,7269.58,859.72,22177.32,60.89
17.90,7356.13,865.50,22133.62,60.67
18.00,7443.26,871.30,22089.92,60.45
18.10,7530.97,877.11,22046.21,60.23
18.20,7619.26,882.93,22002.51,60.01
18.30,7708.14,888.77,21958.81,59.79
18.40,7797.60,894.62,21915.11,59.58
18.50,7887.65,900.48,21871.41,59.36
18.60,7978.29,906.36,21827.70,59.14
18.70,8069.51,912.25,21784.00,58.92
18.80,8161.33,918.16,21740.30,58.70
18.90,8253.73,924.08,21696.60,58.48
19.00,8346.74,930.01,21652.89,58.26
19.10,8440.33,935.96,21609.19,58.05
19.20,8534.52,941.92,21565.49,57.83
19.30,8629.31,947.89,21521.79,57.61
19.40,8724.70,953.88,21478.09,57.39
19.50,8820.69,959.89,21434.38,57.17
19.60,8917.28,965.90,21390.68,56.95
19.70,9014.47,971.94,21346.98,56.73
19.80,9112.27,977.98,21303.28,56.52
19.90,9210.68,984.05,21259.58,56.30
20.00,9309.69,990.12,21215.87,56.08
20.10,9409.31,996.21,21172.17,55.86
20.20,9509.54,1002.32,21128.47,55.64
20.30,9610.39,1008.44,21084.77,55.42
20.40,9711.84,1014.57,21041.06,55.21
20.50,9813.91,1020.72,20997.36,54.99
20.60,9916.60,1026.88,20953.66,54.77
20.70,10019.91,1033.06,20909.96,54.55
20.80,10123.84,1039.26,20866.26,54.33
20.90,10228.38,1045.47,20822.55,54.11
21.00,10333.55,1051.69,20778.85,53.89
21.10,10439.34,1057.93,20735.15,53.68
21.20,10545.76,1064.19,20691.45,53.46
21.30,10652.81,1070.46,20647.75,53.24
21.40,10760.48,1076.74,20604.04,53.02
21.50,10868.79,1083.04,20560.34,52.80
21.60,10977.72,1089.36,20516.64,52.58
21.70,11087.29,1095.69,20472.94,52.36
21.80,11197.50,1102.04,20429.23,52.15
21.90,11308.34,1108.40,20385.53,51.93
22.00,11419.81,1114.78,20341.83,51.71
22.10,11531.93,1121.18,20298.13,51.49
22.20,11644.69,1127.59,20254.43,51.27
22.30,11758.09,1134.02,20210.72,51.05
22.40,11872.14,1140.46,20167.02,50.84
22.50,11986.83,1146.92,20123.32,50.62
22.60,12102.17,1153.40,20079.62,50.40
22.70,12218.16,1159.89,20035.92,50.18
22.80,12334.80,1166.40,19992.21,49.96
22.90,12452.09,1172.92,19948.51,49.74
23.00,12570.04,1179.46,19904.81,49.52
23.10,12688.64,1186.02,19861.11,49.31
23.20,12807.90,1192.59,19817.41,49.09
23.30,12927.82,1199.19,19773.70,48.87
23.40,13048.40,1205.79,19730.00,48.65
23.50,13169.64,1212.42,19686.30,48.43
23.60,13291.54,1219.06,19642.60,48.21
